Timestamp,Open,High,Low,Close,AdjClose,Volume,DividendAmount,SplitCoefficient
2018-01-11,88.13,88.13,87.24,88.08,87.6745,16529868,0,1
2018-01-10,87.86,88.19,87.41,87.82,87.4157,18129153,0,1
2018-01-09,88.65,88.7272,87.86,88.22,87.8139,19390427,0,1
2018-01-08,88.2,88.58,87.6046,88.28,87.8736,20293930,0,1
2018-01-05,87.66,88.41,87.43,88.19,87.784,22526563,0,1
2018-01-04,86.59,87.66,86.57,87.11,86.709,21145985,0,1
2018-01-03,86.055,86.51,85.97,86.35,85.9525,24173064,0,1
2018-01-02,86.125,86.31,85.5,85.95,85.5543,21993101,0,1
2017-12-29,85.63,86.05,85.5,85.54,85.1462,18162779,0,1
2017-12-28,85.9,85.93,85.55,85.72,85.3254,9872795,0,1
2017-12-27,85.65,85.98,85.215,85.71,85.3154,13000828,0,1
2017-12-26,85.31,85.5346,85.03,85.4,85.0068,9737412,0,1
2017-12-22,85.4,85.63,84.92,85.51,85.1163,14033977,0,1
2017-12-21,86.05,86.1,85.4,85.5,85.1064,16638402,0,1
2017-12-20,86.2,86.3,84.71,85.52,85.1263,23425009,0,1
2017-12-19,86.35,86.35,85.27,85.83,85.4349,23241979,0,1
2017-12-18,87.12,87.4999,86.23,86.38,85.9823,21551076,0,1
2017-12-15,85.26,87.09,84.88,86.85,86.4502,52430167,0,1
2017-12-14,85.43,85.8739,84.53,84.69,84.3001,19080106,0,1
2017-12-13,85.74,86,85.17,85.35,84.9571,21307911,0,1
2017-12-12,85.31,86.05,85.08,85.58,85.186,23534946,0,1
2017-12-11,84.29,85.37,84.12,85.23,84.8376,19909119,0,1
2017-12-08,83.63,84.58,83.33,84.16,83.7725,23825056,0,1
2017-12-07,82.54,82.8,82,82.49,82.1102,20378114,0,1
2017-12-06,81.55,83.14,81.43,82.78,82.3989,24821403,0,1
2017-12-05,81.34,82.68,80.9801,81.59,81.2144,25512120,0,1
2017-12-04,84.42,84.4299,80.7,81.08,80.7067,37977732,0,1
